lemma,poscode,surface
Domestic pig ,3,Domestic pig 
Walrus,3,Walrus
Alaska wild rhubarb,3,Alaska wild rhubarb
Oriental wheat,3,Oriental wheat
Yardlong bean,3,Yardlong bean
Great horned owl,3,Great horned owl
Quail,3,Quail
Boysenberry,3,Boysenberry
Persian lime,3,Persian lime
Feijoa,3,Feijoa
Rowal,3,Rowal
Jew's ear,3,Jew's ear
Common mushroom,3,Common mushroom
Shiitake,3,Shiitake
Purple laver,3,Purple laver
Wakame,3,Wakame
Enokitake,3,Enokitake
Epazote,3,Epazote
Oyster mushroom,3,Oyster mushroom
Cloud ear fungus,3,Cloud ear fungus
Maitake,3,Maitake
Ostrich fern,3,Ostrich fern
Spot croaker,3,Spot croaker
Sourdock,3,Sourdock
Tinda,3,Tinda
Atlantic menhaden,3,Atlantic menhaden
Wheat,3,Wheat
Common chokecherry,3,Common chokecherry
Agave,3,Agave
Narrowleaf cattail,3,Narrowleaf cattail
Jellyfish,3,Jellyfish
Anchovy,3,Anchovy
Blue whiting,3,Blue whiting
Carp bream,3,Carp bream
Chanterelle,3,Chanterelle
Sturgeon,3,Sturgeon
Charr,3,Charr
Cinnamon,3,Cinnamon
Crab,3,Crab
Common dab,3,Common dab
Spiny dogfish,3,Spiny dogfish
Anatidae ,3,Anatidae 
Anguilliformes ,3,Anguilliformes 
True frog,3,True frog
Garfish,3,Garfish
Gadiformes ,3,Gadiformes 
Mountain hare,3,Mountain hare
Lake trout,3,Lake trout
Lemon sole,3,Lemon sole
Clawed lobster,3,Clawed lobster
Lumpsucker,3,Lumpsucker
Scombridae ,3,Scombridae 
Marine mussel,3,Marine mussel
Norway haddock,3,Norway haddock
Norway lobster,3,Norway lobster
Norway pout,3,Norway pout
Oil palm,3,Oil palm
True oyster,3,True oyster
Sago palm,3,Sago palm
Persimmon,3,Persimmon
Pikeperch,3,Pikeperch
Pleuronectidae ,3,Pleuronectidae 
Rock ptarmigan,3,Rock ptarmigan
Pacific ocean perch,3,Pacific ocean perch
Black salsify,3,Black salsify
True seal,3,True seal
Red algae,3,Red algae
Kombu,3,Kombu
Snail,3,Snail
True sole,3,True sole
Catfish,3,Catfish
Thistle,3,Thistle
Thunnus ,3,Thunnus 
Walnut,3,Walnut
Cetacea ,3,Cetacea 
Columbidae ,3,Columbidae 
Conch,3,Conch
Grape wine,3,Grape wine
Berry wine,3,Berry wine
Other wine,3,Other wine
Apple cider,3,Apple cider
Liquor,3,Liquor
Cheese,3,Cheese
Milk,3,Milk
Eggs,3,Eggs
Yogurt,3,Yogurt
Bean,3,Bean
Vodka,3,Vodka
Whisky,3,Whisky
Ice cream,3,Ice cream
Gin,3,Gin
Honey,3,Honey
Liquorice,3,Liquorice
Vinegar,3,Vinegar
Rum,3,Rum
Port wine,3,Port wine
Vermouth,3,Vermouth
Sherry,3,Sherry
Madeira wine,3,Madeira wine
Nougat,3,Nougat
Toffee,3,Toffee
Cake,3,Cake
Pizza,3,Pizza
Ymer,3,Ymer
Other snack food,3,Other snack food
Crisp bread,3,Crisp bread
Pastry,3,Pastry
Chewing gum,3,Chewing gum
Marzipan,3,Marzipan
Salad dressing,3,Salad dressing
Sauce,3,Sauce
Salt,3,Salt
Butter,3,Butter
Butter substitute,3,Butter substitute
Cream,3,Cream
Sugar,3,Sugar
Sausage,3,Sausage
Meatball,3,Meatball
Mustard,3,Mustard
Pate,3,Pate
Sugar substitute,3,Sugar substitute
Meat bouillon,3,Meat bouillon
Other meat product,3,Other meat product
Whey,3,Whey
Casein,3,Casein
Fruit preserve,3,Fruit preserve
Leavening agent,3,Leavening agent
Marshmallow,3,Marshmallow
Gelatin,3,Gelatin
Water,3,Water
Other fish product,3,Other fish product
Milk ,3,Milk 
Other beverage,3,Other beverage
Baby food,3,Baby food
Dumpling,3,Dumpling
Soup,3,Soup
Other vegetable product,3,Other vegetable product
Unclassified food or beverage,3,Unclassified food or beverage
Syrup,3,Syrup
Tallow,3,Tallow
Remoulade,3,Remoulade
Chocolate spread,3,Chocolate spread
Fruit gum,3,Fruit gum
Curry powder,3,Curry powder
Other candy,3,Other candy
Meringue,3,Meringue
Lard,3,Lard
Other animal fat,3,Other animal fat
Other cocoa product,3,Other cocoa product
Cocoa butter,3,Cocoa butter
Cocoa powder,3,Cocoa powder
Cocoa liquor,3,Cocoa liquor
Chocolate,3,Chocolate
Hot chocolate,3,Hot chocolate
Dried milk,3,Dried milk
Kefir,3,Kefir
Buttermilk,3,Buttermilk
Other fermented milk,3,Other fermented milk
Soy sauce,3,Soy sauce
Miso,3,Miso
Tofu,3,Tofu
Zwieback,3,Zwieback
Roe,3,Roe
Cichlidae ,3,Cichlidae 
Icing,3,Icing
Snack bar,3,Snack bar
Green turtle,3,Green turtle
Energy drink,3,Energy drink
Burrito,3,Burrito
Hamburger,3,Hamburger
Baked beans,3,Baked beans
Chili,3,Chili
Taco,3,Taco
Tortilla,3,Tortilla
Nachos,3,Nachos
Processed cheese,3,Processed cheese
Salad,3,Salad
Cream substitute,3,Cream substitute
Dulce de leche,3,Dulce de leche
Topping,3,Topping
Sweet custard,3,Sweet custard
Egg roll,3,Egg roll
Heart of palm,3,Heart of palm
Popcorn,3,Popcorn
Potato chip,3,Potato chip
Tortilla chip,3,Tortilla chip
Corn chip,3,Corn chip
Hibiscus tea,3,Hibiscus tea
Stew,3,Stew
Gelatin dessert,3,Gelatin dessert
Junket,3,Junket
Falafel,3,Falafel
Frybread,3,Frybread
Other frozen dessert,3,Other frozen dessert
Lasagna,3,Lasagna
Morchella ,3,Morchella 
Pancake,3,Pancake
Pectin,3,Pectin
Pudding,3,Pudding
Waffle,3,Waffle
Soy milk,3,Soy milk
Meatloaf,3,Meatloaf
Sake,3,Sake
Cocktail,3,Cocktail
Couscous,3,Couscous
Bulgur,3,Bulgur
Coffee substitute,3,Coffee substitute
Coffee mocha,3,Coffee mocha
Chimichanga,3,Chimichanga
Semolina,3,Semolina
Tapioca pearl,3,Tapioca pearl
Tostada,3,Tostada
Quesadilla,3,Quesadilla
Baked potato,3,Baked potato
Hot dog,3,Hot dog
Spread,3,Spread
Enchilada,3,Enchilada
Egg substitute,3,Egg substitute
Nutritional drink,3,Nutritional drink
Other sandwich,3,Other sandwich
Ketchup,3,Ketchup
Breakfast sandwich,3,Breakfast sandwich
Adobo,3,Adobo
Macaroni and cheese,3,Macaroni and cheese
Butterfat,3,Butterfat
Horned melon,3,Horned melon
Hushpuppy,3,Hushpuppy
Fruit juice,3,Fruit juice
Relish,3,Relish
Other fruit product,3,Other fruit product
Fruit salad,3,Fruit salad
Soy yogurt,3,Soy yogurt
Vegetarian food,3,Vegetarian food
Veggie burger,3,Veggie burger
Cold cut,3,Cold cut
Mixed nuts,3,Mixed nuts
Canola,3,Canola
Babassu palm,3,Babassu palm
Cupuaçu,3,Cupuaçu
Shea tree,3,Shea tree
Oil-seed Camellia,3,Oil-seed Camellia
Ucuhuba,3,Ucuhuba
Phyllo dough,3,Phyllo dough
Cooking oil,3,Cooking oil
Pie crust,3,Pie crust
Pie filling,3,Pie filling
Pie,3,Pie
Shortening,3,Shortening
Soy cream,3,Soy cream
Ice cream cone,3,Ice cream cone
Molasses,3,Molasses
Cracker,3,Cracker
Nance,3,Nance
Naranjilla,3,Naranjilla
Natto,3,Natto
Ravioli,3,Ravioli
Scrapple,3,Scrapple
Other pasta dish,3,Other pasta dish
Succotash,3,Succotash
Tamale,3,Tamale
Rice cake,3,Rice cake
Tree fern,3,Tree fern
Evaporated milk,3,Evaporated milk
Flour,3,Flour
Akutaq,3,Akutaq
Dough,3,Dough
Pita bread,3,Pita bread
Focaccia,3,Focaccia
Bagel,3,Bagel
Other bread product,3,Other bread product
Piki bread,3,Piki bread
French toast,3,French toast
Wheat bread,3,Wheat bread
Rye bread,3,Rye bread
Oat bread,3,Oat bread
Potato bread,3,Potato bread
Cornbread,3,Cornbread
Corn grits,3,Corn grits
Multigrain bread,3,Multigrain bread
Rice bread,3,Rice bread
Pan dulce,3,Pan dulce
Raisin bread,3,Raisin bread
Wonton wrapper,3,Wonton wrapper
Trail mix,3,Trail mix
Greenthread tea,3,Greenthread tea
Fruit-flavor drink,3,Fruit-flavor drink
Vegetable juice,3,Vegetable juice
Horchata,3,Horchata
Soft drink,3,Soft drink
Frozen yogurt,3,Frozen yogurt
Milkshake,3,Milkshake
Chocolate mousse,3,Chocolate mousse
Dripping,3,Dripping
Pupusa,3,Pupusa
Empanada,3,Empanada
Arepa,3,Arepa
Ascidians,3,Ascidians
Gefilte fish,3,Gefilte fish
Yellow pond-lily,3,Yellow pond-lily
Fish burger,3,Fish burger
Other dish,3,Other dish
Pot pie,3,Pot pie
Stuffing,3,Stuffing
Edible shell,3,Edible shell
Fudge,3,Fudge
Candy bar,3,Candy bar
Condensed milk,3,Condensed milk
Margarine,3,Margarine
Margarine-like spread,3,Margarine-like spread
Hummus,3,Hummus
Potato puffs,3,Potato puffs
Potato gratin,3,Potato gratin
Milk substitute,3,Milk substitute
Soft-necked garlic,3,Soft-necked garlic
Cabbage,3,Cabbage
Chinese bayberry,3,Chinese bayberry
Mushrooms,3,Mushrooms
Alcoholic beverages,3,Alcoholic beverages
Onion-family vegetables,3,Onion-family vegetables
Pomes,3,Pomes
Brassicas,3,Brassicas
Cereals and cereal products,3,Cereals and cereal products
Citrus,3,Citrus
Cocoa and cocoa products,3,Cocoa and cocoa products
Coffee and coffee products,3,Coffee and coffee products
Crustaceans,3,Crustaceans
Milk and milk products,3,Milk and milk products
Fats and oils,3,Fats and oils
Fishes,3,Fishes
Herbs and Spices,3,Herbs and Spices
Pulses,3,Pulses
Animal foods,3,Animal foods
Mollusks,3,Mollusks
Nuts,3,Nuts
Beverages,3,Beverages
Fruits,3,Fruits
Green vegetables,3,Green vegetables
Root vegetables,3,Root vegetables
Sunburst squash ,3,Sunburst squash 
Green zucchini,3,Green zucchini
Yellow zucchini,3,Yellow zucchini
Green bell pepper,3,Green bell pepper
Yellow bell pepper,3,Yellow bell pepper
Orange bell pepper,3,Orange bell pepper
Red bell pepper,3,Red bell pepper
Italian sweet red pepper,3,Italian sweet red pepper
Yellow wax bean,3,Yellow wax bean
Green bean,3,Green bean
Saskatoon berry,3,Saskatoon berry
Nanking cherry,3,Nanking cherry
Japanese pumpkin,3,Japanese pumpkin
White cabbage,3,White cabbage
Romaine lettuce,3,Romaine lettuce
Herbs,3,Herbs
Cabbages,3,Cabbages
Tropical fruits,3,Tropical fruits
Spices,3,Spices
Shoot vegetables,3,Shoot vegetables
Cereals,3,Cereals
Leaf vegetables,3,Leaf vegetables
Oilseed crops,3,Oilseed crops
Peas,3,Peas
Teas,3,Teas
Fruit vegetables,3,Fruit vegetables
Gourds,3,Gourds
Berries,3,Berries
Other fruits,3,Other fruits
Soy,3,Soy
Tubers,3,Tubers
Other pulses,3,Other pulses
Beans,3,Beans
Drupes,3,Drupes
Stalk vegetables,3,Stalk vegetables
Cocoa,3,Cocoa
Fermented beverages,3,Fermented beverages
Other breads,3,Other breads
Cereal products,3,Cereal products
Soy products,3,Soy products
Doughs,3,Doughs
Distilled beverages,3,Distilled beverages
Fortified wines,3,Fortified wines
Seaweed,3,Seaweed
Rodents,3,Rodents
Cetaceans,3,Cetaceans
Bovines,3,Bovines
Other mammals,3,Other mammals
Swine,3,Swine
Other seeds,3,Other seeds
Other vegetables,3,Other vegetables
Venison,3,Venison
Poultry,3,Poultry
Equines,3,Equines
Other aquatic foods,3,Other aquatic foods
Marsupials,3,Marsupials
